"","book1","book2","count","years","states"
"1","Abendstimmung in Scheveningen","Abschied von den Eltern",1,"2010, 2013, 2014","HH"
"2","Abendstimmung in Scheveningen","Ach Liebste / laß uns eilen",1,"2012, 2013, 2014","HH, NI"
"3","Abendstimmung in Scheveningen","Agnes",1,"2013, 2014, 2017, 2018","BW, HH"
"4","Abendstimmung in Scheveningen","An die Nachgeborenen",1,"2007, 2013, 2014","HH, NI"
"5","Abendstimmung in Scheveningen","Anekdote aus dem letzten preußischen Kriege",1,"2011, 2013, 2014","HH, NI"
"6","Abendstimmung in Scheveningen","Ansichten eines Clowns",1,"2009, 2013, 2014","HH"
"7","Abendstimmung in Scheveningen","Antigone",1,"2006, 2007, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016","BB, HH, SN"
"8","Abendstimmung in Scheveningen","Appell an den Geist",1,"2013, 2014, 2023","HH, NI"
"9","Abendstimmung in Scheveningen","Aus dem Leben eines Taugenichts",1,"2010, 2011, 2013, 2014, 2015, 2016, 2017, 2019, 2020, 2021","HB, HE, HH"
"10","Abendstimmung in Scheveningen","Bahnwärter Thiel",1,"2006, 2007, 2013, 2014, 2017, 2018, 2024, 2025, 2026","HH, NI, SL, SN"
"11","Abendstimmung in Scheveningen","Bei den weißen Stiefmütterchen",1,"2012, 2013, 2014","HH, NI"
"12","Abendstimmung in Scheveningen","Bekenntnisse des Hochstaplers Felix Krull",1,"2008, 2011, 2012, 2013, 2014, 2023","BW, HH, NI"
"13","Abendstimmung in Scheveningen","Berlin Alexanderplatz",1,"2013, 2014, 2015, 2016, 2020","HB, HH, NI"
"14","Abendstimmung in Scheveningen","Blüthenstaub",1,"2013, 2014, 2022","HH, NI"
"15","Abendstimmung in Scheveningen","Brief an den Prinzen friedrich Christian II",1,"2013, 2014, 2021","HH, NI"
"16","Abendstimmung in Scheveningen","Brief des Lord Chandos",1,"2006, 2007, 2013, 2014, 2015, 2016","HE, HH, NI, NW"
"17","Abendstimmung in Scheveningen","Bruder Hitler",1,"2013, 2014, 2023","HH, NI"
"18","Abendstimmung in Scheveningen","Buddenbrooks",1,"2007, 2008, 2009, 2010, 2013, 2014","HE, HH, NW"
"19","Abendstimmung in Scheveningen","Corpus Delicti",1,"2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026","BB, BE, BW, HB, HE, HH, SL, SN"
"20","Abendstimmung in Scheveningen","Dantons Tod",1,"2008, 2009, 2010, 2013, 2014, 2017, 2018","BW, HB, HH, NI"
"21","Abendstimmung in Scheveningen","Das Erdbeben in Chili",1,"2011, 2013, 2014","HH, NI"
"22","Abendstimmung in Scheveningen","Das Feuer",1,"2008, 2009, 2013, 2014","HB, HH"
"23","Abendstimmung in Scheveningen","Das Göttliche",1,"2006, 2013, 2014, 2023, 2024, 2025, 2026","HH, NI, SH"
"24","Abendstimmung in Scheveningen","Das Haus in der Dorotheenstraße",1,"2013, 2014, 2019, 2020, 2021","HH, NW"
"25","Abendstimmung in Scheveningen","Das Marmorbild",1,"2007, 2008, 2009, 2013, 2014, 2021, 2022, 2023, 2024, 2025","BB, BE, BW, HE, HH, NI"
"26","Abendstimmung in Scheveningen","Das Muschelessen",1,"2010, 2013, 2014","HH"
"27","Abendstimmung in Scheveningen","Das Parfum",1,"2013, 2014, 2015, 2016, 2017, 2018","HE, HH"
"28","Abendstimmung in Scheveningen","Das Schloss",1,"2013, 2014, 2015, 2016","HB, HH"
"29","Abendstimmung in Scheveningen","Das Schloss Dürande",1,"2013, 2014, 2022","BB, BE, HH"
"30","Abendstimmung in Scheveningen","Das Urteil",1,"2011, 2012, 2013, 2014","HE, HH"
"31","Abendstimmung in Scheveningen","Das kunstseidene Mädchen",1,"2006, 2013, 2014, 2025, 2026","HH, NI"
"32","Abendstimmung in Scheveningen","Der Augsburger Kreidekreis",1,"2013, 2014, 2017, 2018, 2019","HB, HH"
"33","Abendstimmung in Scheveningen","Der Besuch der alten Dame",1,"2007, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026","HH, SN"
"34","Abendstimmung in Scheveningen","Der Findling",1,"2012, 2013, 2014","HH"
