"","book1","book2","count","years","states"
"1","Abendstimmung in Scheveningen","Abschied von den Eltern",1,"2010, 2013, 2014","HH"
"2","Abendstimmung in Scheveningen","Ansichten eines Clowns",1,"2009, 2013, 2014","HH"
"3","Abendstimmung in Scheveningen","Aus dem Leben eines Taugenichts",1,"2010, 2011, 2013, 2014, 2015, 2016, 2017, 2019, 2020, 2021","HB, HE, HH"
"4","Abendstimmung in Scheveningen","Bahnwärter Thiel",1,"2006, 2007, 2013, 2014, 2017, 2018, 2024, 2025, 2026","HH, NI, SL, SN"
"5","Abendstimmung in Scheveningen","Bekenntnisse des Hochstaplers Felix Krull",1,"2008, 2011, 2012, 2013, 2014, 2023","BW, HH, NI"
"6","Abendstimmung in Scheveningen","Buddenbrooks",1,"2007, 2008, 2009, 2010, 2013, 2014","HE, HH, NW"
"7","Abendstimmung in Scheveningen","Dantons Tod",1,"2008, 2009, 2010, 2013, 2014, 2017, 2018","BW, HB, HH, NI"
"8","Abendstimmung in Scheveningen","Das Muschelessen",1,"2010, 2013, 2014","HH"
"9","Abendstimmung in Scheveningen","Das kunstseidene Mädchen",1,"2006, 2013, 2014, 2025, 2026","HH, NI"
"10","Abendstimmung in Scheveningen","Der Findling",1,"2012, 2013, 2014","HH"
"11","Abendstimmung in Scheveningen","Der Hofmeister",1,"2010, 2013, 2014","HH"
"12","Abendstimmung in Scheveningen","Der Sonntag, an dem ich Weltmeister wurde",1,"2010, 2013, 2014","HH"
"13","Abendstimmung in Scheveningen","Der Untertan",1,"2013, 2014, 2023, 2024","HH, NI"
"14","Abendstimmung in Scheveningen","Der Verbrecher aus verlorener Ehre",1,"2013, 2014, 2017, 2018","HH"
"15","Abendstimmung in Scheveningen","Der Verschollene",1,"2013, 2014, 2015, 2016, 2023, 2024, 2025, 2026","BW, HH, SH"
"16","Abendstimmung in Scheveningen","Der zerbrochne Krug",1,"2013, 2014, 2015, 2016, 2026","BB, BE, BW, BY, HB, HE, HH, MV, NI, NW, RP, SH, SL, SN, ST, TH"
"17","Abendstimmung in Scheveningen","Deutschland. Ein Wintermärchen",1,"2006, 2013, 2014, 2017, 2018, 2021, 2022, 2023","HB, HH"
"18","Abendstimmung in Scheveningen","Die Jahre der Liebe",1,"2011, 2013, 2014","HH"
"19","Abendstimmung in Scheveningen","Die Judenbuche",1,"2013, 2014, 2017, 2018","HH"
"20","Abendstimmung in Scheveningen","Die Leiden des jungen Werthers",1,"2006, 2008, 2010, 2013, 2014","HB, HH, NI"
"21","Abendstimmung in Scheveningen","Die Marquise von O.",1,"2007, 2011, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2026","HE, HH, NI, NW"
"22","Abendstimmung in Scheveningen","Die Räuber",1,"2011, 2012, 2013, 2014","HH"
"23","Abendstimmung in Scheveningen","Die Soldaten",1,"2008, 2010, 2013, 2014","HB, HH"
"24","Abendstimmung in Scheveningen","Die verlorene Ehre der Katharina Blum",1,"2013, 2014, 2017, 2018","HH"
"25","Abendstimmung in Scheveningen","Don Karlos: Infant von Spanien",1,"2006, 2007, 2008, 2011, 2012, 2013, 2014","HE, HH, NI"
"26","Abendstimmung in Scheveningen","Effi Briest",1,"2006, 2007, 2008, 2013, 2014, 2024, 2025, 2026","HE, HH, SH, SN"
"27","Abendstimmung in Scheveningen","Einer",1,"2010, 2013, 2014","HH"
"28","Abendstimmung in Scheveningen","Emigranten-Monolog",1,"2013, 2014","HH"
"29","Abendstimmung in Scheveningen","Emilia Galotti",1,"2007, 2009, 2013, 2014, 2019, 2020, 2024, 2025, 2026","HB, HH, SN"
"30","Abendstimmung in Scheveningen","Faust I",1,"2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026","BW, HB, HE, HH, NI, NW, SL, SN"
"31","Abendstimmung in Scheveningen","Franziska Linkerhand",1,"2009, 2013, 2014","HH"
